"支付流水号","支付方式","支付金额","交易手续费","平台业务单号","状态","支付时间","审核时间","审核状态","订单流水号","订单支付金额","配送仓库","品牌","货号","颜色"
"=""M170225132450000042200197""","中国民生银行","260.00","0.78","2442557091","支付成功","2017-02-25 13:25:38","2017-02-25 13:25:38","已审核","767402253127","260.00","260.00","E-TOP(PUR)","Locaste","7-20SRM3415","7-20SRM3415003"
"=""M170225113651000044255330""","兴业银行","290.00","0.87","2442472211","支付成功","2017-02-25 11:50:50","2017-02-25 11:50:50","已审核","755102251426","290.00","290.00","E-TOP(XH)","Locaste","7-25SRM3013","7-25SRM3013125"
"=""M170225113201000044482968""","兴业银行","290.00","0.00"," ","待支付","","","未审核","755102251426","290.00","290.00","E-TOP(XH)","Locaste","7-25SRM3013","7-25SRM3013125"
"=""M170224134431000075109663""","兴业银行","280.00","0.84","2441971607","支付成功","2017-02-24 13:45:10","2017-02-24 13:45:10","已审核","737602242222","280.00","280.00","E-TOP(PUR)","Locaste","7-29SPM0054","7-29SPM0054NN1"
"=""M170224133325000075737460""","兴业银行","290.00","0.87","2441965046","支付成功","2017-02-24 13:33:54","2017-02-24 13:33:54","已审核","755902242607","290.00","290.00","E-TOP(XH)","Locaste","7-25SRM3013","7-25SRM3013007"
"=""M170224110359000074430968""","广东发展银行","560.00","1.68","2441819831","支付成功","2017-02-24 11:07:51","2017-02-24 11:07:51","已审核","759702246991","280.00","280.00","E-TOP(PUR)","Locaste","7-31SPW0035","7-31SPW0035003"
"=""M170224110359000074430968""","广东发展银行","560.00","1.68","2441819831","支付成功","2017-02-24 11:07:51","2017-02-24 11:07:51","已审核","752402249298","280.00","280.00","E-TOP(PUR)","Locaste","7-27SPW0150","7-27SPW015012C"
"=""M170223134855000073320755""","中国工商银行","290.00","0.87","2441227933","支付成功","2017-02-23 13:49:54","2017-02-23 13:49:54","已审核","760302239769","290.00","290.00","E-TOP(PUR)","Locaste","7-25SRM2230","7-25SRM2230125"
"=""M170223134758000072233906""","中国工商银行","290.00","0.87","2441227204","支付成功","2017-02-23 13:48:40","2017-02-23 13:48:41","已审核","724802238379","290.00","290.00","E-TOP(PUR)","Locaste","7-28SPW1053","7-28SPW105321G"
"=""M170223125659000080658561""","中国工商银行","290.00","0.87","2441195014","支付成功","2017-02-23 13:01:37","2017-02-23 13:01:37","已审核","715402235702","290.00","290.00","E-TOP(PUR)","Locaste","7-29SPW1032","7-29SPW103221G"
