"商品ID","SPU_ID","货号","颜色","市场价","供货价"
"9018","22267","7-31SPW0036","7-31SPW0036A75","599.00","260.00"
"9018","22268","7-31SPW0036","7-31SPW0036001","599.00","260.00"
"9018","22269","7-31SPW0036","7-31SPW0036003","599.00","260.00"
"9017","22264","7-31SPW0031","7-31SPW0031334","599.00","260.00"
"9017","22265","7-31SPW0031","7-31SPW0031125","599.00","260.00"
"9017","22266","7-31SPW0031","7-31SPW00311F2","599.00","260.00"
"9016","22262","7-32SPW0120","7-32SPW0120007","799.00","350.00"
"9016","22263","7-32SPW0120","7-32SPW012015J","799.00","350.00"
"9015","22259","7-32SPW0122","7-32SPW0122001","799.00","350.00"
"9015","22260","7-32SPW0122","7-32SPW0122003","799.00","350.00"
"9014","22258","7-32SPW0123","7-32SPW012315J","799.00","350.00"
"9014","22261","7-32SPW0123","7-32SPW0123007","799.00","350.00"
"9013","22256","7-32SPW0118","7-32SPW0118001","790.00","350.00"
"9013","22257","7-32SPW0118","7-32SPW0118003","790.00","350.00"
"9012","22254","7-29SPW1032","7-29SPW103202H","680.00","290.00"
"9012","22255","7-29SPW1032","7-29SPW103221G","680.00","290.00"
"9011","22247","7-28SPW1023","7-28SPW102321G","590.00","280.00"
"9010","22246","7-25SRM2230","7-25SRM2230024","790.00","290.00"
"9010","22251","7-25SRM2230","7-25SRM2230158","790.00","290.00"
"9010","22252","7-25SRM2230","7-25SRM2230125","790.00","290.00"
"9010","22253","7-25SRM2230","7-25SRM2230078","790.00","290.00"
"9009","22243","7-31SPW0032","7-31SPW00321F2","499.00","280.00"
"9009","22244","7-31SPW0032","7-31SPW0032003","499.00","280.00"
"9009","22245","7-31SPW0032","7-31SPW0032112","499.00","280.00"
"9008","22241","7-25SRM3013","7-25SRM3013007","790.00","290.00"
"9008","22242","7-25SRM3013","7-25SRM3013125","790.00","290.00"
"9007","22239","7-30SPW0008","7-30SPW0008DB4","890.00","350.00"
"9007","22240","7-30SPW0008","7-30SPW0008DG2","890.00","350.00"
"9006","22237","7-30SPW0027","7-30SPW002721G","680.00","290.00"
"9006","22238","7-30SPW0027","7-30SPW002702H","680.00","290.00"
"9005","22235","7-31SPW0035","7-31SPW0035003","680.00","280.00"
"9005","22236","7-31SPW0035","7-31SPW0035001","680.00","280.00"
"9004","22233","7-28SPW1072","7-28SPW1072LY2","429.00","250.00"
"9003","22232","7-27SPW3000","7-27SPW3000DB4","550.00","250.00"
"9002","22230","7-29SPW1023","7-29SPW1023GG2","550.00","250.00"
"9002","22234","7-29SPW1023","7-29SPW102311C","550.00","250.00"
"8998","22226","7-29SPM2021","7-29SPM2021X96","599.00","250.00"
"8978","22200","7-28SPW1067","7-28SPW1067LP2","599.00","250.00"
"8978","22201","7-28SPW1067","7-28SPW1067LY2","599.00","250.00"
"7566","19279","7-31SPW0034","7-31SPW0034334","590.00","270.00"
"7566","22248","7-31SPW0034","7-31SPW0034125","590.00","270.00"
"7566","22249","7-31SPW0034","7-31SPW0034024","590.00","270.00"
"7566","22250","7-31SPW0034","7-31SPW00342K9","590.00","270.00"
"7387","18824","7-31SPM0055","7-31SPM0055024","699.00","250.00"
"7387","18827","7-31SPM0055","7-31SPM0055125","699.00","250.00"
"7387","18830","7-31SPM0055","7-31SPM0055047","699.00","250.00"
"6407","16018","7-29SPW1030","7-29SPW103017K","339.00","250.00"
"6407","16019","7-29SPW1030","7-29SPW10302S2","339.00","250.00"
"6407","16020","7-29SPW1030","7-29SPW1030DB4","339.00","250.00"
"6407","16260","7-29SPW1030","7-29SPW103021G","339.00","250.00"
"5201","12807","7-29SPW2210","7-29SPW2210TT1","499.00","250.00"
"5201","12938","7-29SPW2210","7-29SPW221017C","499.00","250.00"
"5201","15926","7-29SPW2210","7-29SPW221013C","499.00","250.00"
"5200","12806","7-25SPW1136","7-25SPW11361C9","499.00","250.00"
"5149","12695","7-31SPM0028","7-31SPM00281R5","479.00","250.00"
"5149","12696","7-31SPM0028","7-31SPM0028237","479.00","250.00"
"5149","12697","7-31SPM0028","7-31SPM0028DR5","479.00","250.00"
"5149","12698","7-31SPM0028","7-31SPM0028PT2","479.00","250.00"
"61","1467","7-27SPW0108","7-27SPW010811C","499.00","250.00"
"61","1468","7-27SPW0108","7-27SPW0108LY2","499.00","250.00"
"61","22231","7-27SPW0108","7-27SPW010813C","499.00","250.00"
"35","82","7-28SPW1053","7-28SPW1053DB4","599.00","290.00"
"35","83","7-28SPW1053","7-28SPW105302H","599.00","290.00"
"35","84","7-28SPW1053","7-28SPW105321G","599.00","290.00"
"34","81","7-28SPW1132","7-28SPW1132DB2","499.00","290.00"
"33","80","7-29SPM0035","7-29SPM0035LB2","499.00","250.00"
"32","77","7-29SPM0054","7-29SPM0054NN1","499.00","280.00"
"32","78","7-29SPM0054","7-29SPM0054DR2","499.00","280.00"
"32","79","7-29SPM0054","7-29SPM0054DG2","499.00","280.00"
"31","75","7-29SPM0002","7-29SPM000202H","499.00","280.00"
"31","76","7-29SPM0002","7-29SPM0002DB4","499.00","280.00"
"30","74","7-29SPM0030","7-29SPM003012C","499.00","280.00"
"29","72","7-27SPM1077","7-27SPM107702H","499.00","250.00"
"29","73","7-27SPM1077","7-27SPM1077DB4","499.00","250.00"
"28","68","7-29SPW1010","7-29SPW1010NN1","499.00","280.00"
"28","69","7-29SPW1010","7-29SPW101011C","499.00","280.00"
